# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 273         5.888       52.703      -3.30       Marknesse   
# 267         5.384       52.898      -1.30       Stavoren    
# 269         5.520       52.458      -3.70       Lelystad Airport
# 270         5.752       53.224      1.20        Leeuwarden Airport
# 279         6.574       52.750      15.80       Hoogeveen   
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# DR        : Duur van de neerslag (in 0.1 uur) per uurvak / Precipitation duration (in 0.1 hour) during the hourly division
# RH        : Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# STN,YYYYMMDD,HH,   DR,   RH
  267,19980902,    1,    0,   -1
  267,19980902,    2,    0,    0
  267,19980902,    3,    0,    0
  267,19980902,    4,    0,    0
  267,19980902,    5,    0,    0
  267,19980902,    6,    0,    0
  267,19980902,    7,    5,    2
  267,19980902,    8,    0,    0
  267,19980902,    9,    0,    0
  267,19980902,   10,    0,    0
  267,19980902,   11,    0,    0
  267,19980902,   12,    0,    0
  267,19980902,   13,    0,    0
  267,19980902,   14,    0,    0
  267,19980902,   15,    0,    0
  267,19980902,   16,    0,    0
  267,19980902,   17,    0,    0
  267,19980902,   18,    0,    0
  267,19980902,   19,    0,   -1
  267,19980902,   20,    6,    1
  267,19980902,   21,    0,   -1
  267,19980902,   22,    7,    3
  267,19980902,   23,    8,    7
  267,19980902,   24,    9,   15
  267,19980903,    1,   10,   17
  267,19980903,    2,   10,   34
  267,19980903,    3,    5,    4
  267,19980903,    4,    3,    5
  267,19980903,    5,    3,    1
  267,19980903,    6,    0,    0
  267,19980903,    7,    0,    0
  267,19980903,    8,    0,    0
  267,19980903,    9,    0,    0
  267,19980903,   10,    4,    6
  267,19980903,   11,   10,   16
  267,19980903,   12,    6,    3
  267,19980903,   13,    7,    5
  267,19980903,   14,   10,   10
  267,19980903,   15,   10,    7
  267,19980903,   16,    9,    4
  267,19980903,   17,    0,    0
  267,19980903,   18,    0,    0
  267,19980903,   19,    0,   -1
  267,19980903,   20,    0,   -1
  267,19980903,   21,    0,   -1
  267,19980903,   22,    0,    0
  267,19980903,   23,    0,    0
  267,19980903,   24,    0,    0
  267,19980904,    1,    0,    0
  267,19980904,    2,    0,    0
  267,19980904,    3,    0,    0
  267,19980904,    4,    0,    0
  267,19980904,    5,    0,    0
